dep,revratio2022,revratioadu2022,revratiofoy2022,revtot2022,pop2022_x,nadult2022,nfoyer2022,revmoyfoy2022,revmoyadu2022,revmoy2022,pibhab2022,pib2022,pop2022_y,nodiph2022,nodipf2022,nodip2022,bach2022,bacf2022,bac2022,suph2022,supf2022,sup2022,pbac2022,psup2022,popf2022,poph2022,popf0142022,popf15392022,popf40592022,popf60p2022,poph0142022,poph15392022,poph40592022,poph60p2022,agef2022,ageh2022,age2022,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
15,0.83718628,0.78564179,0.80214018,0.0018015803,142766,121241,89047,26497.451,19461.391,15779.777,0.66481286,0.0014344722,142766,35539,33125,68513,9742,11214,20531,11337,14742,25836,0.40361246,0.22489554,75458,74436,10566,14674,20258,29960,11056,16772,20492,26116,49.12540685952006,46.47734247429341,47.81040158433965,149894,0.50340909,0.48866895,0.46664122,0.49712884,0.53427494,0.1442486,0.20978825,0.27185878,0.37410438
16,0.8887139,0.84879601,0.84614867,0.0046909014,350177,285211,214545,27951.203,21025.805,16751.0,0.84152466,0.0044537145,350177,75588,81117,156584,21052,26196,46629,32535,36444,68530,0.4237791,0.25218681,188022,175477,27796,42356,49020,68850,28320,44715,45574,56868,47.19321244214213,44.22884571856283,45.7621816298089,363499,0.5172559,0.49533111,0.48645359,0.5182147,0.54765427,0.15437731,0.23953573,0.26023179,0.34585515
17,0.99678463,0.9417882,0.91966182,0.010000898,665627,534916,410777,30379.596,23329.344,18787.98,0.70760155,0.0071184859,665627,131885,145532,277358,38592,49478,87331,63423,74654,137705,0.44792733,0.27409762,348869,316434,49729,76284,86136,136720,48919,77274,80706,109535,48.1219639509081,45.01897120652529,46.64610678036455,665303,0.52437609,0.50410551,0.49677646,0.5162729,0.55519682,0.1482753,0.23080912,0.25077596,0.37013963
18,0.90719891,0.87196338,0.84993047,0.0040249592,294342,239628,184352,28076.129,21599.691,17099.416,0.75121695,0.003341839,294342,65280,70032,135214,15601,19487,34678,25977,30104,55713,0.40066046,0.24694932,155999,147047,24150,34203,39543,58103,25101,35943,39367,46636,47.1504048165473,43.8922536325778,45.56945236301823,303046,0.51477003,0.49034536,0.48759729,0.5011152,0.55474085,0.16251989,0.23146981,0.26038951,0.34562081
19,0.89309347,0.85330099,0.85672945,0.0032147623,238806,194410,145202,28300.723,21137.398,16833.549,0.74218541,0.0026787091,238806,47795,52368,99940,16729,18645,34912,21627,25673,47047,0.45057422,0.25864354,125111,119613,17836,28307,30902,48066,20147,30719,30193,38554,47.96664279502614,43.66222197925794,45.86278393832823,244724,0.51123309,0.4695785,0.47956833,0.50580245,0.55490649,0.1552075,0.24119416,0.24964859,0.35394976
21,0.98040521,0.96325427,1.0008123,0.007933775,536868,422828,305174,33060.273,23861.088,18479.252,0.91907579,0.0074573881,536868,95319,99140,193710,30464,33834,63099,57326,69638,126133,0.49415317,0.32937887,282812,265167,44758,80864,70722,86468,46537,81886,67387,69357,43.56681127291802,40.67710508833028,42.16848287171867,547979,0.51610005,0.49025685,0.49686021,0.51207381,0.55490452,0.1666031,0.29700044,0.25203338,0.28436309
22,0.9109841,0.891491,0.89998603,0.0082906177,603767,484125,359612,29729.637,22083.416,17170.762,0.75109011,0.0068537667,603767,119519,131823,251294,39402,45342,84321,59891,69229,128971,0.45910123,0.27760413,327096,301934,53193,71043,80538,122322,53907,70495,80553,96979,46.88090587946897,43.86683508602304,45.43415388667621,629030,0.52000064,0.49666667,0.5019359,0.49995345,0.55778134,0.17026214,0.22500993,0.25609431,0.34863362
23,0.78565037,0.72866309,0.72667235,0.0013340706,112653,98287,73906,24004.488,18049.953,14808.398,0.60990256,0.0010384154,112653,28541,29004,57338,8017,9094,16640,8581,11169,19357,0.38567525,0.20739272,61433,58745,8350,11001,15357,26725,8568,12669,14441,23067,50.77157665251009,47.35754282009207,49.10273994149076,120178,0.51118344,0.49355716,0.46476552,0.51537013,0.53673279,0.14077452,0.19695784,0.24794887,0.41431877
24,0.84852195,0.79517132,0.81024039,0.0052451189,410096,349549,257247,26765.029,19697.449,15993.438,0.70631313,0.0043777474,410096,93937,100972,194659,25796,32788,57748,37906,44335,81688,0.41735435,0.2445053,224933,208693,30078,45763,59744,89348,32356,46785,54095,75457,49.0688793658606,46.21371215329558,47.69476055963351,433626,0.51872581,0.48175675,0.49447855,0.52481133,0.54214376,0.14398122,0.21342815,0.26252809,0.38006255
25,0.96882963,0.98103696,1.0107334,0.0080791591,553238,418856,304866,33388.0,24301.588,18261.068,0.77549112,0.0064842054,553238,97419,101161,198226,30978,32902,63206,56972,67260,123821,0.48546541,0.32140177,284677,273745,49622,81972,71174,81909,54015,84326,68684,66720,42.57586708002249,39.5342630164469,41.08483699357821,558422,0.50978827,0.47880584,0.49292234,0.50890189,0.55109704,0.18558903,0.29779989,0.25045216,0.26615894
